La letra: a, sale 2
La letra: b, sale 2
La letra: c, sale 2
La letra: d, sale 1
La letra: e, sale 0
La letra: f, sale 0
La letra: g, sale 0
La letra: h, sale 0
La letra: i, sale 0
La letra: j, sale 0
La letra: k, sale 0
La letra: l, sale 0
La letra: m, sale 0
La letra: n, sale 0
La letra: o, sale 0
La letra: p, sale 0
La letra: ñ, sale 0
La letra: q, sale 0
La letra: r, sale 0
La letra: s, sale 0
La letra: t, sale 0
La letra: u, sale 0
La letra: v, sale 0
La letra: w, sale 0
La letra: x, sale 0
La letra: y, sale 0
La letra: z, sale 0
